freq,mode,label,lo,hi
7186.96,LSB,Spanish DX,-2.70,-0.30
8878.91,USB,,0.30,2.70
4625.00,USB,Buzzer,0.30,2.70
7200.00,LSB,,-2.70,-0.30
27364.90,USB,Citizen Band,0.30,2.70
13640.00,AM,,-4.50,4.50
13760.00,AM,Voice of Korea (DPRK),-4.50,4.50
7055.06,LSB,,-2.70,-0.30
,-----,,,
7066.59,LSB,Ruso raro repitiendo,-2.70,-0.30
7109.92,LSB,WAlkies,-2.70,-0.30
8879.00,USB,Aeropuerto Bombay,0.30,2.70
3799.87,LSB,California,-2.70,-0.30
1846.89,LSB,160 AMATEUR,-2.70,-0.30
4625.01,USB,The Buzzer,0.30,2.70
,-----,,,
,-----,,,
